customer_id,transaction_count,total_transaction_value,avg_transaction_value
CUST039056,23,1925279.26,83707.79
CUST023137,24,1909937.64,79580.73
CUST038305,16,1909746.26,119359.14
CUST037499,26,1908465.05,73402.5
CUST029454,25,1908050.68,76322.03
CUST042039,22,1898890.07,86313.19
CUST031679,27,1898006.08,70296.52
CUST037019,19,1892181.62,99588.51
CUST029304,19,1873052.58,98581.71
CUST019734,18,1872077.19,104004.29
CUST035527,25,1855140.72,74205.63
CUST023699,25,1854390.22,74175.61
CUST029663,16,1850561.56,115660.1
CUST048927,20,1847182.34,92359.12
CUST043060,27,1843117.25,68263.6
CUST005597,24,1833251.79,76385.49
CUST004235,23,1823564.77,79285.42
CUST003739,23,1810150.07,78702.18
CUST002448,17,1803531.71,106090.1
CUST023486,23,1798570.37,78198.71
CUST031031,12,1797353.11,149779.43
CUST013690,24,1784162.36,74340.1
CUST045576,21,1783632.2,84934.87
CUST040668,22,1782259.49,81011.8
CUST017053,26,1780552.05,68482.77
CUST020509,29,1779234.97,61352.93
CUST039281,29,1771366.73,61081.61
CUST008839,20,1770951.16,88547.56
CUST003877,25,1763775.52,70551.02
CUST024119,20,1761334.98,88066.75
CUST015194,19,1757870.34,92519.49
CUST033698,24,1754803.54,73116.81
CUST048250,20,1747816.33,87390.82
CUST040309,20,1742908.19,87145.41
CUST012787,12,1742243.61,145186.97
CUST043318,13,1739221.16,133786.24
CUST035738,27,1732066.58,64150.61
CUST043068,28,1728398.57,61728.52
CUST048097,17,1724340.32,101431.78
CUST007566,17,1714996.82,100882.17
CUST041000,24,1713966.73,71415.28
CUST034075,21,1709139.52,81387.6
CUST005724,18,1703824.91,94656.94
CUST024809,17,1700842.89,100049.58
CUST044620,29,1686762.68,58164.23
CUST030168,19,1684384.44,88651.81
CUST023127,20,1684112.44,84205.62
CUST003806,24,1679991.38,69999.64
CUST045587,24,1678426.33,69934.43
CUST047159,32,1669051.07,52157.85
CUST027003,22,1668033.46,75819.7
CUST015072,20,1667078.33,83353.92
CUST025581,29,1660165.03,57247.07
CUST039864,26,1655539.72,63674.6
CUST028040,21,1647738.22,78463.72
CUST049723,32,1636417.2,51138.04
CUST037354,28,1626045.86,58073.07
CUST032287,26,1621274.7,62356.72
CUST010817,23,1611878.73,70081.68
CUST021989,19,1604053.22,84423.85
CUST047924,25,1596844.34,63873.77
CUST027775,29,1591902.3,54893.18
CUST035688,26,1589749.49,61144.21
CUST021246,18,1574547.45,87474.86
CUST025301,26,1574311.84,60550.46
CUST023425,20,1571691.92,78584.6
CUST026961,24,1568424.7,65351.03
CUST006887,27,1565648.55,57986.98
CUST033269,23,1563935.39,67997.19
CUST021928,18,1562625.42,86812.52
CUST004798,23,1562505.8,67935.03
CUST049110,22,1562197.02,71008.96
CUST003288,22,1560930.06,70951.37
CUST020711,17,1560249.52,91779.38
CUST009119,20,1558812.4,77940.62
CUST000950,27,1556917.14,57663.6
CUST035503,17,1556357.39,91550.43
CUST012239,27,1555595.01,57614.63
CUST037006,23,1552160.41,67485.24
CUST024375,24,1552050.57,64668.77
CUST043258,23,1551614.78,67461.51
CUST040353,17,1551028.35,91236.96
CUST046777,29,1550484.86,53465.0
CUST048442,17,1549794.99,91164.41
CUST012055,30,1549313.2,51643.77
CUST022441,24,1549106.51,64546.1
CUST032633,18,1548823.5,86045.75
CUST039642,17,1548320.39,91077.67
CUST040610,24,1546484.63,64436.86
CUST031396,27,1546385.59,57273.54
CUST015189,26,1545548.71,59444.18
CUST006260,21,1545098.64,73576.13
CUST048706,17,1544832.72,90872.51
CUST046842,26,1544130.42,59389.63
CUST007340,20,1541898.48,77094.92
CUST020120,15,1541635.39,102775.69
CUST016267,24,1541362.66,64223.44
CUST009800,19,1540671.37,81087.97
CUST037864,21,1540640.06,73363.81
CUST010158,21,1540571.95,73360.57
CUST047142,27,1540223.38,57045.31
CUST019215,23,1539401.29,66930.49
CUST015551,22,1538994.34,69954.29
CUST000214,22,1538723.32,69941.97
CUST041686,22,1538339.26,69924.51
CUST020290,22,1537382.18,69881.01
CUST004968,20,1537165.92,76858.3
CUST042916,23,1536892.27,66821.4
CUST019659,24,1535656.95,63985.71
CUST002088,26,1535623.71,59062.45
CUST027991,20,1535592.9,76779.64
CUST040258,22,1535590.83,69799.58
CUST012665,22,1535537.59,69797.16
CUST043008,20,1535274.7,76763.74
CUST020676,24,1535120.62,63963.36
CUST026342,26,1535120.48,59043.1
CUST041696,26,1534992.1,59038.16
CUST016918,22,1534888.72,69767.67
CUST042248,25,1534629.61,61385.18
CUST034757,24,1534542.41,63939.27
CUST014404,21,1534491.18,73071.01
CUST018385,29,1534358.71,52908.92
CUST031986,29,1533821.54,52890.4
CUST024779,19,1532273.74,80645.99
CUST024424,18,1531438.94,85079.94
CUST033438,25,1531247.73,61249.91
CUST045121,17,1531132.8,90066.64
CUST006356,32,1531016.97,47844.28
CUST031703,22,1530743.96,69579.27
CUST020557,19,1530472.99,80551.21
CUST039122,20,1529842.87,76492.14
CUST044924,22,1529790.57,69535.94
CUST032845,26,1529500.35,58826.94
CUST034144,24,1529169.08,63715.38
CUST006213,21,1528498.2,72785.63
CUST024437,24,1528302.02,63679.25
CUST029518,22,1528171.55,69462.34
CUST018106,29,1527762.24,52681.46
CUST043632,16,1527438.09,95464.88
CUST040528,20,1527127.29,76356.36
CUST033486,21,1527018.72,72715.18
CUST001042,22,1526452.65,69384.21
CUST013573,20,1525945.53,76297.28
CUST006269,21,1525852.93,72659.66
CUST042546,19,1525696.55,80299.82
CUST036807,17,1525558.53,89738.74
CUST025650,18,1525453.82,84747.43
CUST010278,19,1525123.82,80269.67
CUST028673,22,1524849.58,69311.34
CUST035530,21,1524536.7,72596.99
CUST024492,22,1524534.73,69297.03
CUST034444,27,1524500.34,56462.98
CUST025358,32,1524426.62,47638.33
CUST015164,19,1524383.94,80230.73
CUST024930,19,1524288.13,80225.69
CUST009962,15,1523891.74,101592.78
CUST049236,22,1523877.73,69267.17
CUST006165,16,1523693.32,95230.83
CUST041908,19,1523302.25,80173.8
CUST039104,23,1522662.34,66202.71
CUST024053,24,1522033.94,63418.08
CUST011926,14,1521342.64,108667.33
CUST023990,17,1521226.35,89483.9
CUST020337,22,1521025.6,69137.53
CUST046378,25,1520426.55,60817.06
CUST032827,15,1520371.41,101358.09
CUST020995,21,1520148.55,72388.03
CUST005713,24,1519741.7,63322.57
CUST033837,27,1519705.9,56285.4
CUST013308,25,1519264.19,60770.57
CUST036912,24,1519130.63,63297.11
CUST043606,14,1519093.99,108506.71
CUST013093,20,1518721.87,75936.09
CUST020724,21,1518601.16,72314.34
CUST012491,29,1518555.53,52363.98
CUST017635,24,1518259.55,63260.81
CUST002330,27,1517957.03,56220.63
CUST026508,13,1517472.13,116728.63
CUST016887,26,1517414.23,58362.09
CUST000466,22,1517360.25,68970.92
CUST046282,23,1517243.65,65967.12
CUST015801,27,1517090.52,56188.54
CUST030583,25,1516719.21,60668.77
CUST004328,19,1516087.4,79794.07
CUST026956,14,1515902.31,108278.74
CUST002495,21,1515351.92,72159.62
CUST047752,26,1515236.4,58278.32
CUST040771,33,1514815.87,45903.51
CUST023396,21,1514491.93,72118.66
CUST044894,28,1514450.38,54087.51
CUST021379,19,1514249.58,79697.35
CUST028370,24,1514118.28,63088.26
CUST007033,23,1513890.01,65821.3
CUST028812,17,1513886.24,89052.13
CUST033681,26,1513880.54,58226.17
CUST003223,19,1513255.87,79645.05
CUST034000,21,1512951.4,72045.3
CUST011795,19,1512843.95,79623.37
CUST013479,20,1512828.01,75641.4
CUST041355,23,1512665.18,65768.05
CUST020375,15,1512644.03,100842.94
CUST019182,21,1512551.46,72026.26
CUST001875,15,1512294.79,100819.65
CUST046990,21,1512197.53,72009.41
CUST047013,18,1511219.09,83956.62
CUST010830,23,1510617.25,65679.01
CUST037077,19,1510555.62,79502.93
CUST020116,19,1510450.24,79497.38
CUST007738,22,1510295.15,68649.78
CUST029142,20,1510284.83,75514.24
CUST039938,17,1510089.77,88828.81
CUST039417,23,1509750.86,65641.34
CUST014701,17,1509590.7,88799.45
CUST006437,23,1509424.02,65627.13
CUST036293,26,1509359.14,58052.27
CUST041263,21,1509203.03,71866.81
CUST008392,13,1508778.77,116059.91
CUST027773,21,1508700.06,71842.86
CUST000087,23,1508278.39,65577.32
CUST041383,11,1508008.31,137091.66
CUST002644,23,1507938.81,65562.56
CUST044787,18,1507587.55,83754.86
CUST033414,17,1506976.81,88645.69
CUST024909,31,1506958.37,48611.56
CUST030834,25,1506768.95,60270.76
CUST046994,22,1506645.46,68483.88
CUST028163,29,1506346.5,51942.98
CUST017600,18,1506312.67,83684.04
CUST049195,20,1506081.27,75304.06
CUST025719,16,1505943.99,94121.5
CUST022230,21,1505614.15,71695.91
CUST038523,29,1504970.99,51895.55
CUST011357,29,1504772.18,51888.7
CUST010088,16,1504371.38,94023.21
CUST015363,34,1504138.24,44239.36
CUST016795,16,1504048.68,94003.04
CUST029076,17,1503761.69,88456.57
CUST045009,21,1503255.49,71583.59
CUST023242,22,1502683.41,68303.79
CUST029259,29,1501942.79,51791.13
CUST042442,20,1501472.57,75073.63
CUST011394,27,1501375.45,55606.5
CUST038446,24,1501156.19,62548.17
CUST010358,14,1500942.44,107210.17
CUST019263,19,1500933.43,78996.5
CUST040666,16,1500910.94,93806.93
CUST008420,18,1500857.86,83380.99
CUST039496,20,1500202.73,75010.14
CUST023680,18,1500179.77,83343.32
CUST039135,29,1500147.73,51729.23
CUST049927,17,1499909.73,88229.98
CUST022894,18,1499715.72,83317.54
CUST026977,22,1499394.52,68154.3
CUST046734,22,1499368.81,68153.13
CUST009593,28,1499297.85,53546.35
CUST000668,15,1498989.05,99932.6
CUST014179,25,1498533.84,59941.35
CUST020850,24,1498405.45,62433.56
CUST000088,24,1498401.64,62433.4
CUST002948,21,1498279.4,71346.64
CUST017482,27,1497023.89,55445.33
CUST009914,27,1496930.54,55441.87
CUST047597,14,1496538.59,106895.61
CUST022988,25,1496388.09,59855.52
CUST037273,22,1496161.4,68007.34
CUST013089,32,1496092.37,46752.89
CUST036520,21,1495692.92,71223.47
CUST007812,22,1495576.63,67980.76
CUST003351,17,1495448.62,87967.57
CUST021294,23,1495407.71,65017.73
CUST032086,19,1495359.53,78703.13
CUST034494,23,1494994.88,64999.78
CUST001919,21,1494183.01,71151.57
CUST007010,21,1494139.8,71149.51
CUST010802,14,1493954.32,106711.02
CUST047046,20,1493756.53,74687.83
CUST025842,22,1493433.49,67883.34
CUST047921,16,1493046.81,93315.43
CUST020318,21,1492925.94,71091.71
CUST013660,19,1492815.58,78569.24
CUST005513,22,1492638.75,67847.22
CUST021180,14,1492415.63,106601.12
CUST042345,16,1492275.58,93267.22
CUST045269,16,1491935.31,93245.96
CUST033879,23,1491349.14,64841.27
CUST042179,22,1491326.37,67787.56
CUST008749,22,1491003.43,67772.88
CUST018618,27,1489790.73,55177.43
CUST009476,19,1489656.67,78402.98
CUST027935,20,1489606.32,74480.32
CUST039479,20,1489559.64,74477.98
CUST026065,18,1489239.2,82735.51
CUST019591,23,1488830.29,64731.75
CUST017173,19,1488529.31,78343.65
CUST015687,17,1488090.97,87534.76
CUST018913,9,1488072.0,165341.33
CUST045338,34,1487778.45,43758.19
CUST048086,25,1487596.15,59503.85
CUST006330,20,1487479.29,74373.96
CUST040461,17,1487386.42,87493.32
CUST005238,17,1486880.14,87463.54
CUST046779,20,1486232.31,74311.62
CUST045425,26,1485810.12,57146.54
CUST028916,17,1484661.88,87333.05
CUST028573,26,1483965.57,57075.6
CUST010583,19,1483591.55,78083.77
CUST011756,27,1483556.06,54946.52
CUST026712,19,1483474.04,78077.58
CUST045714,20,1483305.25,74165.26
CUST045846,14,1483173.13,105940.94
CUST018708,19,1483110.22,78058.43
CUST012237,25,1482647.08,59305.88
CUST042626,19,1482318.45,78016.76
CUST042603,21,1482297.76,70585.61
CUST003184,20,1482209.41,74110.47
CUST017726,14,1482119.22,105865.66
CUST006355,17,1481361.46,87138.91
CUST030270,24,1481050.15,61710.42
CUST046957,22,1480730.28,67305.92
CUST012503,28,1480557.6,52877.06
CUST012070,23,1479611.7,64330.94
CUST008743,24,1479587.13,61649.46
CUST037339,26,1479508.08,56904.16
CUST012899,19,1479230.43,77854.23
CUST027265,23,1478997.65,64304.25
CUST049518,14,1478961.01,105640.07
CUST018647,24,1478714.55,61613.11
CUST014908,26,1478692.03,56872.77
CUST039373,18,1478638.07,82146.56
CUST023489,21,1478122.23,70386.77
CUST046741,20,1477982.39,73899.12
CUST031497,19,1477882.78,77783.3
CUST008939,20,1477844.75,73892.24
CUST041700,25,1477766.94,59110.68
CUST028523,17,1477750.28,86926.49
CUST006388,28,1477740.32,52776.44
CUST040802,19,1477244.65,77749.72
CUST040838,16,1476783.01,92298.94
CUST011013,25,1476539.17,59061.57
CUST003692,20,1476301.76,73815.09
CUST011909,14,1475861.61,105418.69
CUST033000,25,1475848.06,59033.92
CUST009502,30,1475242.34,49174.74
CUST026000,24,1474732.16,61447.17
CUST046024,30,1474634.78,49154.49
CUST003694,23,1474593.27,64112.75
CUST020835,20,1474411.01,73720.55
CUST029904,26,1474133.1,56697.43
CUST021096,18,1474005.29,81889.18
CUST042271,9,1473625.17,163736.13
CUST013163,25,1472882.96,58915.32
CUST001374,23,1472641.3,64027.88
CUST003776,21,1472360.4,70112.4
CUST008944,22,1472222.87,66919.22
CUST034710,20,1472196.73,73609.84
CUST045620,22,1471680.6,66894.57
CUST015515,22,1471556.64,66888.94
CUST006176,19,1471358.41,77439.92
CUST017185,19,1471341.52,77439.03
CUST036225,24,1471181.68,61299.24
CUST019893,16,1471116.23,91944.76
CUST023933,22,1470629.28,66846.79
CUST005545,21,1470585.5,70027.88
CUST012102,15,1470298.15,98019.88
CUST018615,18,1470231.52,81679.53
CUST011492,28,1469787.86,52492.42
CUST012544,30,1469209.35,48973.65
CUST025594,26,1469066.79,56502.57
CUST001182,14,1468976.77,104926.91
CUST030220,25,1468709.36,58748.37
CUST026880,22,1468352.98,66743.32
CUST011032,18,1468274.95,81570.83
CUST036888,22,1468192.48,66736.02
CUST004062,18,1467975.95,81554.22
CUST019998,20,1467828.16,73391.41
CUST046743,23,1467133.68,63788.42
CUST028577,26,1467003.73,56423.22
CUST029577,24,1466755.06,61114.79
CUST025171,24,1466705.05,61112.71
CUST042868,19,1466691.99,77194.32
CUST013055,22,1466657.47,66666.25
CUST020970,19,1466536.25,77186.12
CUST037731,23,1466306.06,63752.44
CUST006215,19,1465647.16,77139.32
CUST005145,20,1465570.79,73278.54
CUST043797,17,1465534.06,86207.89
CUST027674,18,1465246.26,81402.57
CUST012637,22,1465007.96,66591.27
CUST024123,24,1464912.71,61038.03
CUST005807,25,1464795.97,58591.84
CUST038382,18,1464618.51,81367.69
CUST000046,13,1464513.25,112654.87
CUST014623,26,1464196.27,56315.24
CUST049530,26,1463514.56,56289.02
CUST016063,24,1463447.05,60976.96
CUST041608,26,1463174.62,56275.95
CUST004416,19,1463123.06,77006.48
CUST028854,22,1462726.41,66487.56
CUST033614,26,1462248.52,56240.33
CUST049954,20,1462231.03,73111.55
CUST009994,22,1462166.34,66462.11
CUST033925,24,1460679.01,60861.63
CUST032640,22,1460210.78,66373.22
CUST039885,16,1459916.81,91244.8
CUST030946,20,1459098.39,72954.92
CUST007923,15,1458901.32,97260.09
CUST026246,26,1457862.85,56071.65
CUST017433,23,1456747.8,63336.86
CUST011578,15,1456657.99,97110.53
CUST029037,19,1456392.52,76652.24
CUST020894,30,1456302.95,48543.43
CUST028917,22,1455627.25,66164.88
CUST020494,22,1455545.89,66161.18
CUST041087,22,1455523.02,66160.14
CUST018984,26,1455295.74,55972.91
CUST028624,23,1453980.82,63216.56
CUST011058,31,1453895.42,46899.85
CUST007765,25,1453082.27,58123.29
CUST001018,19,1452962.07,76471.69
CUST027618,19,1452452.7,76444.88
CUST037088,25,1452301.78,58092.07
CUST044077,13,1452185.09,111706.55
CUST048539,31,1452088.12,46841.55
CUST032044,12,1451889.91,120990.83
CUST004612,30,1450722.45,48357.42
CUST046424,26,1450661.57,55794.68
CUST008747,24,1450575.46,60440.64
CUST035541,15,1450250.6,96683.37
CUST027721,21,1450074.39,69051.16
CUST046484,27,1449522.84,53686.03
CUST022607,20,1449331.17,72466.56
CUST010311,20,1449090.74,72454.54
CUST001421,15,1448785.99,96585.73
CUST026036,22,1448778.75,65853.58
CUST001525,28,1448584.45,51735.16
CUST016955,18,1448516.3,80473.13
CUST003693,15,1448421.38,96561.43
CUST010320,18,1448414.34,80467.46
CUST025618,37,1448246.86,39141.81
CUST013738,20,1448071.12,72403.56
CUST009958,21,1448027.55,68953.69
CUST014467,29,1447122.59,49900.78
CUST030147,26,1446793.25,55645.89
CUST003727,16,1446530.57,90408.16
CUST026131,31,1446102.27,46648.46
CUST029788,28,1446046.64,51644.52
CUST004646,17,1444613.87,84977.29
CUST031870,19,1444477.35,76025.12
CUST019285,19,1444369.73,76019.46
CUST028923,24,1444065.39,60169.39
CUST000477,26,1443839.68,55532.3
CUST009439,16,1443656.75,90228.55
CUST004731,30,1443504.23,48116.81
CUST026935,12,1443358.6,120279.88
CUST004732,22,1443188.93,65599.5
CUST019352,13,1442328.04,110948.31
CUST003027,22,1442286.4,65558.47
CUST040014,14,1441904.97,102993.21
CUST047568,12,1441881.99,120156.83
CUST006278,21,1441577.58,68646.55
CUST019283,22,1441569.3,65525.88
CUST033070,15,1440924.64,96061.64
CUST037058,26,1440874.95,55418.27
CUST041943,17,1440733.7,84749.04
CUST029170,20,1440336.21,72016.81
CUST045123,25,1439803.37,57592.13
CUST015252,12,1439297.17,119941.43
CUST039298,13,1438967.09,110689.78
CUST019102,21,1438928.39,68520.4
CUST011124,23,1438917.6,62561.63
CUST009507,23,1438905.7,62561.12
CUST014618,15,1438902.55,95926.84
CUST030416,24,1438128.46,59922.02
CUST008075,23,1438102.86,62526.21
CUST016799,21,1437647.13,68459.39
CUST017823,15,1437614.56,95840.97
CUST040589,21,1437460.52,68450.5
CUST023179,23,1437275.76,62490.25
CUST022579,20,1437246.59,71862.33
CUST012161,21,1437182.41,68437.26
CUST026331,11,1437003.86,130636.71
CUST000267,21,1436829.14,68420.44
CUST034369,17,1436512.61,84500.74
CUST010336,14,1436084.95,102577.5
CUST047298,26,1435957.18,55229.12
CUST033842,17,1435481.34,84440.08
CUST020848,21,1435151.23,68340.53
CUST034594,18,1434889.74,79716.1
CUST022392,18,1434740.45,79707.8
CUST029567,20,1434623.45,71731.17
CUST045227,25,1434616.73,57384.67
CUST011684,14,1434599.0,102471.36
CUST048522,22,1434406.21,65200.28
CUST011270,21,1434303.06,68300.15
CUST033123,18,1434197.92,79677.66
CUST010430,27,1434121.25,53115.6
CUST028450,14,1433521.36,102394.38
CUST040191,22,1433495.97,65158.91
CUST021651,15,1433034.49,95535.63
CUST002309,17,1432887.57,84287.5
CUST001979,19,1432385.32,75388.7
CUST026247,24,1432264.23,59677.68
CUST030481,29,1432087.62,49382.33
CUST030813,21,1431954.62,68188.32
CUST030961,21,1431828.91,68182.33
CUST035320,21,1431450.7,68164.32
CUST042353,19,1431450.0,75339.47
CUST014566,18,1431368.11,79520.45
CUST018939,31,1430971.72,46160.38
CUST041377,19,1430668.87,75298.36
CUST004000,15,1430555.93,95370.4
CUST025565,21,1430084.42,68099.26
CUST021325,17,1429684.56,84099.09
CUST007444,29,1429530.62,49294.16
CUST047461,16,1428953.83,89309.61
CUST028512,26,1428336.05,54936.0
CUST033642,20,1427972.04,71398.6
CUST034548,20,1427263.86,71363.19
CUST028787,19,1426931.48,75101.66
CUST014414,33,1426755.06,43235.0
CUST026423,12,1426456.82,118871.4
CUST035736,24,1426258.21,59427.43
CUST033910,14,1426210.45,101872.18
CUST017047,22,1426071.56,64821.43
CUST008585,24,1426007.88,59417.0
CUST006454,26,1426000.49,54846.17
CUST043743,26,1425650.01,54832.69
CUST033960,10,1425446.44,142544.64
CUST019849,12,1424762.08,118730.17
CUST026254,20,1424604.22,71230.21
CUST003019,27,1424412.61,52756.02
CUST022072,18,1424134.09,79118.56
CUST024839,20,1423986.59,71199.33
CUST037226,20,1423922.64,71196.13
CUST024351,19,1423754.81,74934.46
CUST018039,24,1423696.06,59320.67
CUST018999,16,1423555.58,88972.22
CUST030897,12,1423500.34,118625.03
CUST026888,30,1423443.23,47448.11
CUST021562,23,1423426.84,61888.12
CUST005040,25,1423155.44,56926.22
CUST039961,17,1422970.58,83704.15
CUST047810,14,1422569.16,101612.08
CUST013275,22,1422351.32,64652.33
CUST003902,17,1422341.5,83667.15
CUST017167,15,1421608.48,94773.9
CUST009864,20,1421557.02,71077.85
CUST020554,15,1421418.26,94761.22
CUST000754,26,1421339.87,54666.92
CUST046947,21,1421267.57,67679.41
CUST046175,30,1421021.76,47367.39
CUST017005,27,1420696.75,52618.4
CUST035128,22,1420522.38,64569.2
CUST007400,22,1420508.81,64568.58
CUST046834,29,1420323.12,48976.66
CUST041020,20,1420176.13,71008.81
CUST010234,18,1419975.97,78887.55
CUST036198,23,1419880.91,61733.95
CUST043674,18,1419804.74,78878.04
CUST004075,22,1419724.72,64532.94
CUST009913,17,1419676.66,83510.39
CUST024686,22,1419347.32,64515.79
CUST049713,20,1419061.71,70953.09
CUST019116,22,1418754.84,64488.86
CUST043188,23,1418687.16,61682.05
CUST010280,19,1418338.87,74649.41
CUST037291,24,1417863.86,59077.66
CUST042417,25,1417742.08,56709.68
CUST003811,30,1416720.7,47224.02
CUST027393,20,1416095.88,70804.79
CUST036909,19,1416084.17,74530.75
CUST019302,23,1415675.29,61551.1
CUST041056,25,1415541.66,56621.67
CUST013506,14,1415055.82,101075.42
CUST000307,29,1415027.22,48794.04
CUST039678,15,1415016.77,94334.45
CUST011038,19,1414861.16,74466.38
CUST041307,24,1414658.86,58944.12
CUST008500,19,1414448.91,74444.68
CUST037622,19,1414437.28,74444.07
CUST000134,22,1414291.74,64285.99
CUST037831,25,1414107.32,56564.29
CUST015254,18,1414060.23,78558.9
CUST002093,21,1413798.52,67323.74
CUST004112,22,1413223.91,64237.45
CUST010678,18,1412957.31,78497.63
CUST011672,16,1412467.92,88279.25
CUST025826,19,1412099.93,74321.05
CUST019977,19,1411954.6,74313.4
CUST021640,19,1411677.0,74298.79
CUST020904,22,1411498.51,64159.02
CUST049187,15,1411310.34,94087.36
CUST049231,21,1410846.21,67183.15
CUST045584,17,1410054.36,82944.37
CUST005226,24,1409788.98,58741.21
CUST020692,20,1409162.97,70458.15
CUST037168,23,1409144.67,61267.16
CUST034120,23,1408216.92,61226.82
CUST002015,14,1407122.61,100508.76
CUST005123,23,1406893.15,61169.27
CUST005199,12,1406822.59,117235.22
CUST017810,28,1406579.71,50234.99
CUST039590,17,1405932.27,82701.9
CUST010109,27,1405614.94,52059.81
CUST029643,23,1405583.58,61112.33
CUST017836,11,1404994.89,127726.81
CUST021554,17,1404907.88,82641.64
CUST018589,16,1404884.93,87805.31
CUST013848,18,1404797.32,78044.3
CUST016265,28,1404159.61,50148.56
CUST020581,25,1403385.82,56135.43
CUST028195,23,1403099.2,61004.31
CUST037621,20,1403016.17,70150.81
CUST035174,16,1402565.26,87660.33
CUST049117,17,1402294.38,82487.9
CUST042499,31,1402199.87,45232.25
CUST040359,25,1402160.77,56086.43
CUST043825,19,1402024.75,73790.78
CUST003997,16,1401955.21,87622.2
CUST038792,17,1401841.44,82461.26
CUST047249,23,1401822.14,60948.79
CUST049510,17,1401515.14,82442.07
CUST034641,16,1401418.92,87588.68
CUST022117,25,1401340.23,56053.61
CUST017175,29,1401287.52,48320.26
CUST031891,15,1400765.63,93384.38
CUST043138,21,1400242.58,66678.22
CUST033121,14,1399725.35,99980.38
CUST041060,20,1399590.64,69979.53
